id,name,wiki_url,last_update,age_groups,simple_description,clinical_description
DB12704,Spiradoline,http://en.wikipedia.org/wiki/Spiradoline,2021-02-21,,,
DB08805,Metiamide,http://en.wikipedia.org/wiki/Metiamide,2021-02-21,,,
DB14483,Calcium ascorbate,http://en.wikipedia.org/wiki/Calcium_ascorbate,2022-05-02,,,
DB13514,Pranoprofen,http://en.wikipedia.org/wiki/Pranoprofen,2021-05-15,,A medication used in eye drops to manage eye swelling and discomfort caused by a variety of eye conditions.,A topical anti-inflammatory agent used for the treatment of non-infectious inflammatory conditions such as blepharitis and conjunctivitis. Pranoprofen ophthalmic solution may also be used post-operatively to manage inflammation.
DB02957,Orotidylic acid,http://en.wikipedia.org/wiki/Orotidine_5%27-monophosphate,2020-06-12,,,
DB05942,GI-5005,,2020-06-12,,,
DB04650,"5-[(3AS,4R,6AR)-2-OXOHEXAHYDRO-1H-THIENO[3,4-D]IMIDAZOL-4-YL]PENTANOIC ACID",,2020-06-12,,,
DB16012,Celivarone,http://en.wikipedia.org/wiki/Celivarone,2021-02-21,,,
DB14709,Bean,http://en.wikipedia.org/wiki/Bean,2020-06-12,,An extract from Bean used in allergy testing.,An extract from Bean used in allergy testing.
DB00750,Prilocaine,http://en.wikipedia.org/wiki/Prilocaine,2022-05-02,,A medication used to numb an area in dental procedures.,A local anesthetic used in dental procedures.
DB15606,White mustard seed,,2020-06-12,,An extract from white mustard seed used in allergy testing.,An extract from white mustard seed used in allergy testing.
DB04903,Pagoclone,http://en.wikipedia.org/wiki/Pagoclone,2021-02-21,,,
DB14464,"Influenza B virus B/Hong Kong/259/2010 antigen (MDCK cell derived, propiolactone inactivated)",,2020-06-12,,,
DB00304,Desogestrel,http://en.wikipedia.org/wiki/Desogestrel,2022-05-02,,"A medication used in birth control for women, which is a man-made version of the natural hormone, progesterone.","A synthetic progestin used in contraception, often in combination with ethinyl estradiol."
DB14465,"Influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen (MDCK cell derived, propiolactone inactivated)",,2020-06-12,,,
DB16428,GRAd-COV2,,2021-01-16,,,
DB14820,Profoxydim,,2020-06-12,,,
DB01439,3-Methylthiofentanyl,http://en.wikipedia.org/wiki/3-Methylthiofentanyl,2020-06-12,,,
DB14438,"Influenza A virus A/Hong Kong/4801/2014 X-263B (H3N2) hemagglutinin antigen (UV, formaldehyde inactivated)",,2020-06-12,,,
DB02122,4-iodo-acetamido phenylboronic acid,,2020-06-12,,,
